,recordid,content,attitude
25,407462,我看好西方式的自私环保，或者其他什么的全球治理一事无成,2
26,407465,扔非洲最落后的国家，什么都不给活过一年再回来说这些！,3
27,407468,刚刚出名的时候，还有很多活动邀请那啥环保少女，可是很快，真干活的就发现这货就一个嘴炮啊，没人搭理了，不骂她就是给面子……我们环保，来自我们的传统文化，道法自然，尊重生命，跟国外那些被污染教育过的野蛮人不是一回事，也不用理会那些疯子逗傻子的游戏。,3
28,407469,不懂装懂！,2
29,407475,“环保”少女vs“环保”领导人,2
30,274574,动物园的动物此刻还是很幸运了，虽不自由，可叹无数的动物都被无情的大火所伤害而丧失家园或是被夺去生命，为澳洲消防战士们加油，为所有遭受到不幸的人，动物们祈祷平安！,1
31,274579,坐标浙江台州 今天下午出门看个牙 看太阳挺大就穿了件薄长袖加薄外套就出门了 外面不仅太阳大风也大 骑着电瓶吹这南方一月份的风极为惬意 看着一名路过的短袖大哥我甚至想去喝个冰阔落,3
32,274585,今年地球冷暖达到了90摄氏度，让人害怕。记得十几年前冬天还有大雪，还能穿得住长羽绒服，现在一冬天能勉强凑一场雪就不错了，最冷的时候一件短羽绒服一件不需要太厚的毛衣就过冬了。,1
33,274594,坐标厦门 2019年估计是全年无冬了 最低也就下雨那两天8度 但最高温也有17 18度 每天就穿一件长袖校服就够了 秋裤什么的都不存在的,1
34,274599,大冬天的，你给我发这个？！,4
35,274620,其实澳大利亚不仅仅是热，而是因为大火，没错，就是四个月前的那场，现在还没灭。澳总理已经跑到国外度假了,3
36,274624,山林大火能不热吗？希望早日灭火保护自然和民众消防员安全,1
37,274645,南方果然更暖，屁啊(来自一个裹在被窝的蓝帆人),3
38,274652,广东广州今天短袖，你们信不？,3
39,274655,气候问题是个大事,1
40,274742,我感觉今年是有史以来最不冷的冬天，小时候那种穿五六件衣服都冷到入心入肺颤抖不已。现在，呵呵，短t加衬衫，要是再冷就加个卫衣。。。来广东的小伙伴,1
41,221531,特朗普：反正我最多再有三十年就要死了，关我毛事，我不相信。→_→,4
42,221544,法国大选结果终于揭晓，倡导跨越左右阵营、认同西方主流价值观、年仅39岁的独立候选人马克龙入住爱丽舍宫。这是2017年继荷兰大选之后，欧洲本土对极右政治势力的又一次胜利。这位法国史上最年轻的民选总统，将给欧洲乃至世界带来什么改变？不同尽管从民调显示数据看，勒庞当选的希望渺茫，但特朗普的当选，本就告诉我们千万别轻信民调。如若代表极右翼实力的勒庞当选，那么对于法国、欧盟及世界都将带来颠覆性的改变。世人或许难以理解的是，为何欧洲的经济危机、难民危机、恐怖袭击、种族问题都远比英国、美国严重，但为什么英国人民、美国人民都做出了“民粹主义”的选择，但欧洲本土却并未如此？这要先从国民性讲起。英、美都属于盎格鲁.撒克逊民族，这个民族历史上来看就以务实、追求实利著称。价值观不过是维护国家利益的手段。所以，当出现发展的机会、或者危机发生时，哪怕还没有达到危险的境地，都能够迅速作出反应。欧洲本土则相反，过于偏重价值观而疏于现实危机的解决，甚至宁可牺牲经济利益而维持价值观。比如当中国主导的亚投行横空出世，虽然和中国经贸利益最为巨大的是德国，政治上有特殊关系的是法国，但却只有在英国孤身一人作出表率之后，其他欧洲国家才敢于跟进。要知道当时，英国面临等最重要的压力，首先就是盟友美国的反对。再比如，英、美一向只接受高素质的移民，对其他类型的外国人进入都设置了很高的门槛。甚至，难民问题就成为英国脱欧的部分原因，按照欧盟内部人员、资本自由流动的原则，英国必须要接受一定配额难民，这个难民危机对于希望英国退欧的人，确实坚定了他们的决心。这和欧洲本土出于人道而敞开大门的做法非常不同。其次，英美国家认同自由竞争，国家的福利相对于欧洲来讲还是低水平的，也不完善。所以危机一旦发生，民众的感受往往十分的直接和强烈。但欧洲本土的福利既完善标准也高，从而减缓了危机到来时民众的痛苦。但也自然减轻了民众对问题存在的敏锐度和反应能力。而这些都自然而然的体现在选举中。所以，从上面两个角度就可以理解，为何欧洲的极右翼问题远比英美严重，但却没有作出和英美一样的反应。,4
43,221554,法兰西斯坦欢迎你.,4
44,221555,有些评论真是酸得辣眼睛_(:3 」∠)_ 如果你是科学家、研究员 你们国家的领导放弃科研、切断了你的研究经费 基本上你就等于失业了 你是选择留在祖国刷盘子还是跳槽去其他国家更有前途和远见的机构继续做研究？？,4
45,221557,上个世纪西方世界工业化破坏环境没人管，现在你们转向虚拟经济就喷发展中国家以中国为首破坏环境，说白了没人真的在乎环境，还不是要遏制第三世界崛起阻止工业化进程然后纳入西方理论规则制定虚拟经济中和日韩新加坡一样当傀儡,2
46,407423,今年诺贝尔物理学奖三位获奖人的成果应该算是一锤定音，从科学上验证了人类活动对气候的影响。今年的气候变化大会政治意味如此之重，一定程度上也是受到科学界共识的催促。我们倡导人类命运共同体，本质就是在对国际的分歧秩序做尝试性的整合。我们反对的不是环保，而是发达国家推卸责任的行为。世界应该认真坐下来探讨一条可行的解决措施，而不是相互攻伐。我们做出承诺，也是在树立榜样。我们揭穿发达强权的嘴脸，并带头思考如何让发展和环保并存。可以说在西方的道德大棒面前，我们的抗争是所有发展中国家的希望。,1
47,407425,气候问题或者人类未来问题唯一解，杀掉所有昂撒人，一个不留,3
48,407429,How dare you.,2
49,407430,同样是辍学，人家的英语起码学的还不错，还是比一般的学渣强,4
50,407435,成啊，环保是吧。干脆叫她裸体去森林玩儿吧,2
51,407436,说一个发生在气候峰会上的趣事。在联合国气候峰会举办的国际记者会上，正在用中文回答记者问题的中国气候特使解振华，突然被美联社的记者打断。“打断一下，你能不能直接用英文回答问题？”乖乖，好大的口气啊，在场的人也是一愣。我们解大使的回答也是很机智：“不如你用中文提问喽”在美国人看来，整个世界都是由我们昂撒国家主导的，当然要用英格利诗回答问题了，赢麻了属于是,3
52,407439,让她去感化美利坚人民吧！,2
53,407345,去年还能说“How dare you！”今年就是会“blah！blah！blah！”明年指不定“WuWuYiEiWu”《关于环保运动会导致逆生物进化理论的研究》今天立冬，成都的天气直接把我冷醒了！“全球变暖！？”“暖个P！”,2
54,407347,太精彩了，这演讲我哭了，笑哭的,2
55,407354,欧式环保，只打嘴炮,2
56,407361,比较好奇的是，瑞典的这位活宝这次去英国，是自己划船去的，还是坐飞机去的？,2
57,407367,我朋友的导师和师爷都去做讲座，希望老先生没被环保公主吵到真的是，爱在瑞典嚷嚷就在瑞典嚷嚷，不要打扰别人干工作好吧,3
58,407370,格雷塔可真是个小机灵鬼去英国翘个课，回国（她要还在读书）差不多就该höstlov（放学生假）了,2
59,407384,通小胖墩又不等于环保事业，它屁事没干还翘课，整天口嗨嘴炮引着群西方大傻子玩，其实吧，它就是台前的木偶，为别人攫取利益的脏手套，不然为啥本子排核污水不见它放一屁？睡王八十五车拜教皇也没见它吱一声！只是因为小胖墩和后面的利益人知道自己的主子是谁。,2
60,407397,我觉得全球变暖就是人类活动导致的。但是这不代表一些政治家可以站在在道德制高点谴责，因为全球变暖是一个趋势，人类的经济活动是停不下来的，经济必须一直维持上升的状态，否则穷人根本吃不上饭。解决全球变暖，这是一个科技问题。其实这是要由科学家出面的解决，明明是一个技术问题，却被一些政治家或者所谓的环保组织渲染成一种政治工具，为自己的选票和利益。而且我觉得全球变暖不是一个阴谋论，而这政客和环保卫士的嘴脸才是阴谋。,1
61,407412,白人的环保，只是政治需要。,2
62,407414,高端的逃课方式 我们小时候装病这种跟这一比 太幼稚啦,2
63,407419,害，真“环保”的胆子没有，但借着“环保”的名义敛财的胆子是有的，而且很大！,3
64,153666,和庆怜一起保护地球，尊重大自然，从你我做起,1
65,153674,大家一起传递正能量！关注气候变暖！看了冰冻星球真的很有感触,1
66,153677,跟着庆怜一起保护环境,1
67,153686,发错地方了吧？我们中国人搞环保轮得到你们昂撒人来教？玩笑别开太大,3
68,153687,和庆怜一起保护环境，关注气候变化，守护地球！,1
69,407333,除了耗跌油，感觉她就没梗了。感觉她江郎才尽了,2
70,407337,她长得越来越像马斯克了,4
71,153063,这个评论区都是同一句话，不看视频还以为是鞋教现场呢,4
72,153066,啊啊啊大庆一起保护环境呀！看了评论区想说，无论来自哪个国家，无论资本是否裹挟左右着我们的目光，呼吁一同保护环境关注气候变化，是我们作为普通人能发出的微弱光芒，有声音才会有关注，思考，行动，萤火之光汇聚，才能真正推动一个群体去做出改变,1
73,153072,很好奇刷这么多整齐的弹幕，还能上首页，一共花了多少呀，哪家能接这种想了解下。,4
74,153132,你们国家有什么资格在环境保护方面宣传啊，你们做过什么？就一堆极左在那用嘴说，也没见你们有什么实际行动啊。,3
75,153135,这种流量的粉丝一般比较幼稚无脑，容易欺骗。严防欧美国家从这种粉丝入手，进行洗脑，宣传西方错误价值观，进而扩大化为颜色革命！,4
76,153144,所以日本偷排核废水这事你们怎么看？,4
77,153148,全球变暖，极端天气越发频繁，保护环境就是保护自己，保护自己的家园。这不是说教，这是呼吁，在大自然面前人类是命运共同体，不要用您短浅的目光来表明自己是个垃圾。,1
78,153152,对地球而言，我们就是蝼蚁。祂不需要我们保护。倒不如改成保护我们自己的生存环境，没了生物地球照样转,1
79,153192,我不明白怎么有那么多心理阴暗的人，庆怜又怎么了，不喜欢可以不看，不要来嘴他，每个人都应该被尊重。总是这样嘴别人，就不怕会反弹到自己么！,4
80,153198,同问，英国啥时候把人均碳排放减一下？不要只喊口号，只打广告,3
81,153199,我笑了，英国人什么时候少吃点？？搁这呼吁中国人保护环境？？还是快去你的老家呼吁一下吧！,3
82,153200,自己掠夺世界完成了工业化，现在对别的工业化中的gj指指点点，e不ex啊,2
83,153205,澳洲大火时，澳洲政府极其不负责的态度，和近乎于零的拯救措施。让地球遭受了磨难。今年的天气异常，是否受其影响？英国大使是否可以公开批评澳大利亚这种放任的态度呢？顺便再拯救下澳大利亚的大堡礁。 大堡礁是世界人民的资源。不仅仅是澳大利亚的。,1
84,153207,非洲一大部分国家连工业化都没够上呢，这边开始谈论气候变化，真是不给非西方国家活路啊。英国还是老大哥，狠呐。,2
85,153223,我是学环境的，研究的是水银污染，环境是门大生意，咱们这些老老实实做环境保全的比不过外国面孔一句话，合着每天不是吃就是玩儿。咱们国家的环境专家不比国外少，别被人卖了还帮着数钱。,2
86,153224,平常连垃圾都不会分类，还可能随手乱扔的人在评论区跟我讲环保?讲格局? 你怎么不去死啊?!,3
87,153226,如果说以前我们是生活在自然里面 然而现在我们人口太多了  只有圈养自然这一条路走啊.要不然保护自然就是和穷人作对..因为穷人只剩下自然资源了.而且环保部门一贯的做法 不管那个国家的.只会解决制造问题的人..因为这往往是嘴简单的办法（比如麦秆粉尘.一个省级别的组织还真的搞不到能除尘的收割机？嘴皮动一动就好了？）~包括那些所谓的世界组织.最有意思的是 人和自然和谐相处 .城市里哪里来的自然？..所以这话现实就变成了 农村人必须和自然和谐相处.保护自然的法规 永远管到的都是和自然打交道的人 和大部分城市人无关.这是何等公平的法律啊！,3
88,153257,保护大自然，人人有责,1
89,153352,保护环境，是我们现在每个人的责任,1
90,153353,“我们的行动决定着地球气候的未来”,1
91,153613,环境保护，从我们做起,1
92,153657,一起关注气候变化，守护我们的地球?,1
93,152654,英国人少喝点牛奶，少吃些牛肉，减少碳排放。中国人人均少的可怜。别又当又立。气候变化从英国人少吃一顿牛肉开始，蟹蟹。,3
94,152720,救命他声音好听的要死,4
95,152733,环境保护真的很重要，人类每年对海洋，森林造成的污染是无法挽回的，所以我们更应该树立环保意识，我看了他倡导的网站，可以转换成为中文挺方便的，在网站中我们可以得到不同专业人士从不同的视角以讲故事的方式将环境保护通俗易懂的让人们了解，让人们知道环境保护的重要性以及方法以此抵御气候变化带来的灾难，这真的是很有意义的事情，不仅丰富自己的知识更保护环境，何乐而不为呢？,1
96,152778,之前的物料里庆怜在过生日许了两个愿望，一个是长高，一个是海洋垃圾减少，工作人员说只能许一个愿望时，崽崽选择了海洋垃圾减少四海为家的崽崽真的很有全球意识，我们和庆怜一起关注气候，保护地球,1
97,152788,不知道评论里在阴阳怪气啥？保护地球是每个人都应该做的，作为一个偶像，他本身身后有巨大的粉丝体量，各种活动通过偶像进行倡议，能带动其身后的粉丝体量，推动事情的发展。这也是在当今这个流量社会最常见的方式，为了发泄对某某对象的不满，发表一些奇奇怪怪的言论真的未免格局过小！,1
98,152810,这次河南的暴雨真的让人很难过，我和朋友已经捐助一些略表心意，在未来会和正能量艺人庆怜一起更加关注环境的变化。保护环境人人有责。,1
99,152833,从你说愿望是长高和海洋垃圾减少 别人告诉你只能实现一个 你选择了后者 我就知道我的小孩是有世界公民意识、有格局的人❤️,1
100,152867,对等彼此都要承担相应的责任和义务，发达国家更应该先于一步。减少碳排放。你们已经提前排放了几百年了。应该有所节制。,1
101,152899,听见欧洲人说环保，我都想笑,2
102,152905,爬爬爬，先把你们自家人均碳排放降下来，再来说我们！,3
103,152916,当我们抓着英国人的人均碳排放量，人家也会抓着我们高居榜首的碳排放总量，保护环境不是全人类的责任吗，这种视频不应该是无国界值得肯定的吗，这个视频宣传正能量立意是好的，没必要喷，少一个这种视频可能会少一些保护环境的人,1
104,152923,确实可能被喷，这个up的名字+环境保护+崽的大部分粉丝是中国的但是了解崽的人知道崽四海为家，他的立场是全球，希望崽不要被有心之人利用吧我相信办办的能力，也相信崽。,1
105,152930,庆怜好像一直都很关注地球的环境问题，这个问题也确实刻不容缓，希望大家都可以重视并参与进来,1
106,152940,环境污染等一系列问题是我们都应该重视的，所有人都可以从少用一个纸杯少用一个塑料袋做起，这个只是起到呼吁大家一起奋斗的作用，不应该以偏概全，所有人都有环保的意识，只是少数人的意识不强，或是只想着方便自己，但呼吁大家总是没有错的，让我们一起为保护环境做出贡献吧！加油，地球会因为我们更加漂亮的！,1
107,152941,请把圆明园还给我们！！谢谢,4
108,152980,保护环境是全球人共同的责任，在自己力所能及的范围里做到保护好环境，尽可能呼吁更多人去保护环境，无论是哪个国家都是一样的。粉丝顺着名摸过来，且评论的也都是呼吁一起保护环境，点草就精准点，不要说什么传教现场，呼吁保护环境也算是传教了吗,1
109,153031,中国这些年为了环保做了巨大的努力，牺牲了很大一部分的经济来成全。只要不是肉蛋奶式的洗脑，我们一起响应国家号召绿水青山就是金山银山。庆怜作为偶像起带头作用是很好的榜样，但是国人还是要警惕国外的NGO组织。,1
110,153033,这个题材真的很棒，关注地球环境变化，保护地球是我们每个人的责任，多点来自各方对环境保护的呼吁和引导真的太重要了！? ? ? ?,1
111,149668,对不起恐龙先生，即使是要帮助贫困人口，我们也依然需要消耗化石燃料，因为贫穷的国家或地区在工业化的过程中需要消耗化石燃料。,3
112,149669,1，这种恐龙在恐龙危机里属于各项属性都很均衡的种类，众所周知这种恐龙是最有前途的。2，为什么说英语，如果你能多掌握点外语就会知道，英语是TM最好学的。。。。。,4
113,149673,我从视频开始就想笑，看完反而有点想哭了。这么些年下来我越来越不会把人往好的地方想了，对外国也是一点信心都没了，当年人类命运共同体的理想世界现在越来越是个笑话，人类能在我有生之年内实现太空移民吗，退一步，能在我有生之年实现太空工业吗,4
114,149681,恐龙什么也没做顺其自然还是灭绝了，这难道不是在说我们应当选择一条不同于它们的路线吗？认识世界，改造世界！,2
115,149685,越看联合国越感觉。西式主导下的世界。永远都不可能消灭贫困和饥饿,4
116,149686,好话怪话虚伪话变着花样说，人事时一件都不干啊，不但不干还要打击阻挠实心干的，看到这个视频我无言以对只能发出？？？？？？？？？？？,1
117,149701,老人地铁手机,4
118,149756,全球气候变迁是自然界的规律，人类只是加快了其步伐而无法改变其结果，而且气候变迁只会做到减少人类数量不会达到灭绝，食物链的顶端不是白站的。,2
119,149757,营销宣传这一块 西方确实牛逼，但就是不干实事，面子他挣 活你干，不是吗,1
120,149759,薅爹啊you？,2
121,149762,我都无语了，前脚呼吁人类不要自我毁灭，扭脸绝壁扯到中国人吃肉蛋奶，海鲜和发展所需的碳排放上，我算看透了西方所谓环保什么德行了。其实我特别想和西方所谓环保人士玩加“砝码”游戏。我们先来：截止2020年上半年，兔子已经植树造林6646万亩，该你了西方环保主义者,1
122,149767,国家与国家之间是平等的，或者有的觉得高人一等。既然是平等，那么就谁也没法命令谁去做什么。完全靠自觉。那靠自觉的话，从个人观点出发，不投机倒把，不薅羊毛不就是亏么。一群同学在自习，也需要一个老师看管着，引导着。指望大部分同学齐心协力搞点正事，本身就是游戏里面最难的情况了。匹配了100个队友，都得是会玩的。太难了。,1
123,149776,我们来回顾一下白左环保的特征：1.口口声声要环保，但是没有任何行动；2.决口不谈环保和发展的联系；3.总是要求别人做什么。,3
124,149782,环保这东西主要看做的怎么样，其他都知道的就不说了，比如围湖造田，一说就是那个伤害水体的事情，但是濒危物种美西螈就是在特诺奇蒂特兰围田造的水上苗圃那浅水区里发展壮大的。,3
125,150287,感觉莫名其妙，人类毁灭自己还需要等气候问题出手？？？打一场核战争就可以了，按按电钮就能做到。而且世界最多核弹头 的那个国家可不管什么集体利益，一切美国优先。,4
126,150314,为什么都在讨论西方东方。为什么不能好好探讨视频本身的内容。那才是我们值得思考的。很多人说什么西方做了吗？而我们做了。但我们不应该想想我们在不在这个“我们”里面？我们不应该想想这些与我们的生活的关系？而不是在这讽刺西方。,1
127,150333,这得对霉锅和小本子说,4
128,150349,虚伪的环保——一个劲的喊人类马上就要毁灭自己了，名头喊的震天响，就是不干人事——有这作秀的时间不如去多种点树！顺便鄙视一下环保少女和类似的这种政治秀民！,1
129,150365,中国种树治沙，大部分沙漠消失了西方媒体：中国不环保西方滥采滥伐，拍放了大部分有害物质，为了环保就拍了个片子西方媒体：欧美乃环保标兵！,3
130,150380,川普，没有全球暖化，那都是骗人的,2
131,150396,哈哈哈哈哈哈哈笑了,4
132,150397,光说不做假把式,1
133,150404,阅,4
134,150405,警卫呢,4
135,150444,恐龙严格遵循“大自然的规则”，不依靠工具全靠自身，即便这样也还是灭绝了，所以说用恐龙来演讲是想表达该灭绝的还是会灭绝,2
136,150452,美国维持当今地位的前提是，令别的国家发展不起来，发达国家的收入是我们的几倍，不反省还老当道德卫士,2
137,150467,光说不做,1
138,150473,和环保少女一样,2
139,150480,难道网友们这种程度的创意都看不上了吗,4
140,150483,这恐龙什么性别？为什么要设定性别，联合国在歧视谁？,4
141,150490,嗯，说得好，说得妙，说的漂亮，然后呢？,1
142,150527,我说个事，大家都快过来看啊！看，我要“作”动员了；看，我要“作”减排了；看，我要“作”环保了，过段时间我就立刻马上开始了，看看我这思想“觉悟”你们赶紧好好“做”，好好“行动”啊，“做”环保，“做”减排，这是大家的家园，别就我一个人在这里“作”,2
143,150541,人类自我灭绝的方式太多了，比如争夺北极，比如坚持烧煤卖煤，比如争着拥有核武…这些可称为落后的科技，危险的科技。有时候我想外星人的文明不一定是更高阶，而是推倒重来。,4
144,150542,得了吧 全世界只有谁在真正做环保大家心知肚明,1
145,150550,整 个 好 活,4
146,150560,西方那边实际行动就基本没有，尤其是政府领导的那种大规模的就没有。天天喊着环保环保，你有这时间怎么不去种树呢？天天说中国碳排放多，谈总量不谈人均，人均来说西方是我们的好几倍，几十个人吃的饭比一个人吃的多有问题？现在的碳排放是不可避免的，碳排放权就是发展权，不工业革命你去体验一下农耕社会？,1
147,150579,其实西方年轻人中间确实有很多人是真的希望更环保，提倡低碳，并且身体力行的，当然这个比例放到近四亿的美国人总量里面的话，比例也是很少的。但是一种意识形态，一种观念，一种思维方式，所衍生出来行为却多种多样，而能决定西方历史走向的却是各种各样的利益群体，或财阀，或政党，他们以环保，反歧视，自由为外表，做的事情却无一例外是为了自身立意。以苹果为例，不给充电线既然是为了环保，那为什么要主推自己能源利用率更低的无线充电器呢？这不算是浪费是吗？一边浪费能源是为了打造科技形象，以人的舒适为本，一边克扣顾客本应得到配件打造环保人设，这不是又当又立嘛。所以白左的话听听就好，包括比尔盖茨，包括拉菲特，包括扎克伯格，包括马斯克，能双赢的合作就一起发展，其他的事情咱们也别管。自己身上还是有很多问题虽然得到环节但是并未彻底彻底解决的，供给侧问题，人口问题，发展不平衡问题，经济结构有待优化的问题。慢慢解决慢慢发展吧，现在虽然依旧还有诸多的问题，但大部分问题还是依靠生产力发展能够解决的问题。,1
148,150598,虽然更希望西方国家摆正心态，多做点实事，但是这个视频做的还是不错的,1
149,150610,经典的西方虚伪式环保，有些时间都给我种树去,1
150,150674,净整一些没用的 花里胡哨的 玩点实在的,1
151,150680,可惜，西式环保:说一套，做一套。,1
152,150684,老是这套讲了跟没讲似的空话，你把耶稣整活了上去演讲估计也还是这套。,1
153,150697,明白了，恐龙是被陨石灭绝的，那么人类必须不惜一切代价发展对抗陨石打击的科技。不惜一切代价，包括所谓的环境,3
154,150720,今天喊着减少肉蛋奶晚上就去吃大份牛排的欧美人没资格喊，他们只想让别的国家听他们的话环保，自己继续享受,3
155,150722,西方国家真的说的太好了，要不是我知道他们做过什么，我可能真的就感动的哭了,3
156,150731,如果人类真要灭绝，那主责也是退出巴黎协定的那个国家,2
157,150732,白左们又在这里自我感动了，实事不干，搞一部短片。不断地宣传，我一直在为环保呐喊，努力，然而人类太自私了，所以我的努力都白费了，但是我会坚持下去的。好的，继续下一部短片的构思，这次经费再加个500W吧！,1
158,150768,排放权就是生存权，别说没用的。,2
159,150773,恐龙不找格雷塔通贝格来配音，这很不环保,2
160,150819,人类命运共同体,1
161,150821,越来越会扯蛋了,4
162,150828,为什么白左喜爱动物胜过喜爱人？因为动物不会说话，他们说啥就是啥。,3
163,150832,就这么打断我们的会议，how dare you!?,2
164,150835,我超，恐龙人,4
165,150837,这这这，极端动物保护组织可不同意啊！人类也是动物，人类必须保护动物，凭什么人类不能自我灭亡，只能看着动物自我灭亡呐！这不公平，这不自由。这？动物的命也是命。,3
166,151318,主旨是好的，不知道有些人在阴阳怪气什么，真就人均二极管呗,1
167,148220,这么重要的事怎么现在才发,4
168,148243,他们终于不满足于瑞典辍学小女孩骂他们了。。,2
169,148360,美国和日本:没错，说的太好了（美国继续挑起战争，日本在太平洋里倒更多的核废水，然后这两个流氓联合起来限制其他国家的发展）,2
170,148471,尽整这些虚的，有这时间休息一下，去种会儿树减减排好不好,1
171,148487,(ー_ー)!!(◔◡◔) 西式环保：喊口号，上街，行为艺术中式环保：三北防护林、碳中和、青山绿水,1
172,148524,整活是吧,4
173,148597,欧美不关心环保事业，他们只关注制造环保事件，他们总是在教育别人去做他们自己做不到的事情，你永远看不到他们亲手哪怕只是种几颗树,1
174,148600,你好，亲爱的恐龙勇士，请替我向孩之宝、DC&MARVEL中尊敬的擎天圣以及你的巨无霸同胞们问好。我们试图窥探黄金圆盘的先知，逃离苦难，挣脱命运的枷锁，殊不知命运就掌握在手中，显示在脚下。让我们向着合一矩阵，实现民族文明繁荣圣火的共产主义迈进。,4
175,148622,西方人讲环保，哈哈哈哈哈哈哈别说字了，一个标点符号我都不会信的,2
176,148629,说人话不做人事太真实了，别在做这种三观正的视频了，他们不配,1
177,148643,所以呢？看了这个短片，西方政棍们立刻就会决定做个人了？不，做这个短片其实不是为了什么环保目的，只不过是想压制第三世界的正常发展罢了。,2
178,148645,联合国有什么作用吗,4
179,148650,我看到了什么,4
180,149268,可以说浮于表面，不干实事的特点早已刻在西方人的骨子里了。,1
181,149286,不过是把戈洛塔桑博格换成了一个有点嘻哈味的迅猛龙，但是他们话说的都是一样的。虚拟人物显然有很大的好处，那就是拍不到它们出尔反尔的动用所谓不环保的工具，即使真的搞了个恐龙坐飞机，恐龙乘帆跨海什么的大家也知道那不过是电脑动画。至于全世界各国行动起来，那要干什么呢？交碳税？我们显然也看到西方的提案是多么的一头沉。再说“不如帮助穷人”，帮助贫穷的国家就不用化石能源吗？再说美欧这么多世纪对非洲的“帮助”搞了多少牺牲。结论是大将不要被这视频骗了，新瓶装旧酒是西方一贯的坑骗手段。,2
182,149300,突然想到刘慈欣的一个科幻小说，好像是《吞噬者》什么的。说是恐龙没有灭绝，反而进化出高等文明，几亿年后的现在回到地球侵略地球，把地球资源全部掠走，把人当牲畜饲养的故事。里面就有一幕，是恐龙的使者来到联合国大会发表侵略宣言，然后现场把一个人当做零食丢嘴里，还说了顿味道不错之类的话，和这个视频十分相似。,4
183,149326,美国拥有全球4.28%的人口但所消耗的资源占人类已消耗资源的23%，一个美国人所消耗的资源相当于2个日本人，6个墨西哥人，13个中国人，31个印度人。,3
184,149401,宣传片立意是积极的，能从中解读出如此如此的朋友，我送你们四个字——“谨言慎行”,1
185,149407,? 恐龙啥时候学会英文的？,4
186,149455,整天谈气候环保，倒是拿出点行动出来,1
